model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_bert-base-uncased,go_emotions,native,42,admiration,0.6790009250693803,0.6465652663958484,0.7103351328379149,504
hf_bert-base-uncased,go_emotions,native,42,amusement,0.804159445407279,0.7664450627151992,0.8400131332082551,264
hf_bert-base-uncased,go_emotions,native,42,anger,0.47696476964769646,0.41476252511300854,0.5417846994132192,198
hf_bert-base-uncased,go_emotions,native,42,annoyance,0.34643377001455605,0.3002803135914617,0.39148418201019325,320
hf_bert-base-uncased,go_emotions,native,42,approval,0.35962145110410093,0.3100909875080543,0.40550933991482774,351
hf_bert-base-uncased,go_emotions,native,42,caring,0.4076923076923077,0.3317700206828985,0.47654401555123577,135
hf_bert-base-uncased,go_emotions,native,42,confusion,0.38650306748466257,0.32054355400696866,0.44878082664668384,153
hf_bert-base-uncased,go_emotions,native,42,curiosity,0.5064102564102564,0.46126167033107096,0.5503452971500826,284
hf_bert-base-uncased,go_emotions,native,42,desire,0.5165562913907285,0.4098014315400601,0.6129180684741737,83
hf_bert-base-uncased,go_emotions,native,42,disappointment,0.3007518796992481,0.232541287495787,0.36678676867401033,151
hf_bert-base-uncased,go_emotions,native,42,disapproval,0.33405639913232105,0.2753837722042314,0.3912090105503279,267
hf_bert-base-uncased,go_emotions,native,42,disgust,0.4896265560165975,0.4072283150548355,0.5590787401574803,123
hf_bert-base-uncased,go_emotions,native,42,embarrassment,0.4482758620689655,0.27116353641777374,0.59375,37
hf_bert-base-uncased,go_emotions,native,42,excitement,0.4100418410041841,0.328615812522192,0.48360655737704916,103
hf_bert-base-uncased,go_emotions,native,42,fear,0.6096256684491979,0.5241360870366956,0.6877840024898848,78
hf_bert-base-uncased,go_emotions,native,42,gratitude,0.9266862170087976,0.9058239744963424,0.946368894791788,352
hf_bert-base-uncased,go_emotions,native,42,grief,0.0,0.0,0.0,6
hf_bert-base-uncased,go_emotions,native,42,joy,0.5993485342019544,0.5295419533737291,0.6625426660516605,161
hf_bert-base-uncased,go_emotions,native,42,love,0.7641921397379913,0.7146088829963541,0.8041258817145958,238
hf_bert-base-uncased,go_emotions,native,42,nervousness,0.37037037037037035,0.19607843137254902,0.5306122448979592,23
hf_bert-base-uncased,go_emotions,native,42,optimism,0.5609756097560976,0.5040854656672699,0.614215835687741,186
hf_bert-base-uncased,go_emotions,native,42,pride,0.43478260869565216,0.14285714285714285,0.6876201923076922,16
hf_bert-base-uncased,go_emotions,native,42,realization,0.19574468085106383,0.1266939687267312,0.26829532256361527,145
hf_bert-base-uncased,go_emotions,native,42,relief,0.13333333333333333,0.0,0.3639204545454543,11
hf_bert-base-uncased,go_emotions,native,42,remorse,0.6666666666666666,0.5576923076923077,0.7619047619047619,56
hf_bert-base-uncased,go_emotions,native,42,sadness,0.5384615384615384,0.47229890551068204,0.6000442477876106,156
hf_bert-base-uncased,go_emotions,native,42,surprise,0.5111111111111111,0.4388130135465246,0.5836728894329559,141
hf_bert-base-uncased,go_emotions,native,42,neutral,0.608433734939759,0.5895726188564798,0.6283618064205889,1787
